conv_id	turn_id	topic	head	relation	tail
mixed_One_Flew_Over_the_Cuckoo's_Nest_Twilight	4	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	Oregon
mixed_One_Flew_Over_the_Cuckoo's_Nest_Twilight	5	Twilight	Twilight	<UNK>	Isabella "Bella" Swan
mixed_One_Flew_Over_the_Cuckoo's_Nest_Twilight	6	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	BOOL::Yes
mixed_One_Flew_Over_the_Cuckoo's_Nest_Twilight	7	Twilight	Twilight	<UNK>	Edward Cullen
mixed_One_Flew_Over_the_Cuckoo's_Nest_Twilight	8	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	BOOL::Yes
mixed_One_Flew_Over_the_Cuckoo's_Nest_Twilight	9	Twilight	Twilight	<UNK>	vampire
mixed_Jaws_One_Flew_Over_the_Cuckoo's_Nest	0	Jaws	Jaws	P50	Peter Benchley
mixed_Jaws_One_Flew_Over_the_Cuckoo's_Nest	1	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	Ken Kesey
mixed_Jaws_One_Flew_Over_the_Cuckoo's_Nest	2	Jaws	Jaws	P577	YEAR::1974
mixed_Jaws_One_Flew_Over_the_Cuckoo's_Nest	3	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	P577	YEAR::1962
mixed_Jaws_One_Flew_Over_the_Cuckoo's_Nest	4	Jaws	Jaws	<UNK>	Doubleday; Bantam Books
mixed_Jaws_One_Flew_Over_the_Cuckoo's_Nest	5	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	Oregon
mixed_Jaws_One_Flew_Over_the_Cuckoo's_Nest	6	Jaws	Jaws	P136	Thriller
mixed_Jaws_One_Flew_Over_the_Cuckoo's_Nest	7	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	BOOL::Yes
mixed_Jaws_One_Flew_Over_the_Cuckoo's_Nest	8	Jaws	Jaws	<UNK>	BOOL::Yes
mixed_Jaws_One_Flew_Over_the_Cuckoo's_Nest	9	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	BOOL::Yes
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Hobbit	0	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	Ken Kesey
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Hobbit	1	The Hobbit	The Hobbit	P577	21 September 1937
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Hobbit	2	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	P577	YEAR::1962
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Hobbit	3	The Hobbit	The Hobbit	P50	BOOL::Yes
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Hobbit	4	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	Oregon
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Hobbit	5	The Hobbit	The Hobbit	<UNK>	Edith Tolkien
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Hobbit	6	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	BOOL::Yes
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Hobbit	7	The Hobbit	The Hobbit	<UNK>	John Francis Reuel Tolkien
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Hobbit	8	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	BOOL::Yes
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Hobbit	9	The Hobbit	The Hobbit	<UNK>	BOOL::Yes
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Shining	0	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	Ken Kesey
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Shining	1	The Shining	The Shining	<UNK>	Stephen King
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Shining	2	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	P577	YEAR::1962
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Shining	3	The Shining	The Shining	<UNK>	BOOL::Yes
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Shining	4	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	Oregon
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Shining	5	The Shining	The Shining	<UNK>	BOOL::Yes
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Shining	6	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	BOOL::Yes
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Shining	7	The Shining	The Shining	<UNK>	BOOL::Yes
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Shining	8	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	BOOL::Yes
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Shining	9	The Shining	The Shining	<UNK>	BOOL::Yes
mixed_Great_Expectations_One_Flew_Over_the_Cuckoo's_Nest	0	Great Expectations	Great Expectations	<UNK>	Charles Dickens
mixed_Great_Expectations_One_Flew_Over_the_Cuckoo's_Nest	1	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	Ken Kesey
mixed_Great_Expectations_One_Flew_Over_the_Cuckoo's_Nest	2	Great Expectations	Great Expectations	<UNK>	BOOL::No
mixed_Great_Expectations_One_Flew_Over_the_Cuckoo's_Nest	3	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	P577	YEAR::1962
mixed_Great_Expectations_One_Flew_Over_the_Cuckoo's_Nest	4	Great Expectations	Great Expectations	P123	Chapman & Hall
mixed_Great_Expectations_One_Flew_Over_the_Cuckoo's_Nest	5	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	Oregon
mixed_Great_Expectations_One_Flew_Over_the_Cuckoo's_Nest	6	Great Expectations	Great Expectations	P136	black comedy
mixed_Great_Expectations_One_Flew_Over_the_Cuckoo's_Nest	7	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	BOOL::Yes
mixed_Great_Expectations_One_Flew_Over_the_Cuckoo's_Nest	8	Great Expectations	Great Expectations	<UNK>	London;Kent
mixed_Great_Expectations_One_Flew_Over_the_Cuckoo's_Nest	9	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	BOOL::Yes
mixed_One_Flew_Over_the_Cuckoo's_Nest_Pride_and_Prejudice	0	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	P50	Ken Kesey
mixed_One_Flew_Over_the_Cuckoo's_Nest_Pride_and_Prejudice	1	Pride and Prejudice	Pride and Prejudice	<UNK>	Jane Austen
mixed_One_Flew_Over_the_Cuckoo's_Nest_Pride_and_Prejudice	2	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	P577	YEAR::1962
mixed_One_Flew_Over_the_Cuckoo's_Nest_Pride_and_Prejudice	3	Pride and Prejudice	Pride and Prejudice	P577	27 January 1813
mixed_One_Flew_Over_the_Cuckoo's_Nest_Pride_and_Prejudice	4	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	Oregon
mixed_One_Flew_Over_the_Cuckoo's_Nest_Pride_and_Prejudice	5	Pride and Prejudice	Pride and Prejudice	<UNK>	Elizabeth Bennet
mixed_One_Flew_Over_the_Cuckoo's_Nest_Pride_and_Prejudice	6	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	BOOL::Yes
mixed_One_Flew_Over_the_Cuckoo's_Nest_Pride_and_Prejudice	7	Pride and Prejudice	Pride and Prejudice	<UNK>	Fitzwilliam Darcy
mixed_One_Flew_Over_the_Cuckoo's_Nest_Pride_and_Prejudice	8	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	BOOL::Yes
mixed_One_Flew_Over_the_Cuckoo's_Nest_Pride_and_Prejudice	9	Pride and Prejudice	Pride and Prejudice	<UNK>	Mansfield Park
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Beach	0	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	Ken Kesey
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Beach	1	The Beach	The Beach	P50	Alex Garland
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Beach	2	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	P577	YEAR::1962
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Beach	3	The Beach	The Beach	<UNK>	1 September 1935
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Beach	4	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	Oregon
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Beach	5	The Beach	The Beach	<UNK>	London
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Beach	6	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	BOOL::Yes
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Beach	7	The Beach	The Beach	<UNK>	BOOL::No
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Beach	8	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	BOOL::Yes
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Beach	9	The Beach	The Beach	<UNK>	cartoonist
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Dwarves	0	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	Ken Kesey
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Dwarves	1	The Dwarves	The Dwarves	P50_reverse	YEAR::2003
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Dwarves	2	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	P577	YEAR::1962
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Dwarves	3	The Dwarves	The Dwarves	<UNK>	The War of the Dwarves
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Dwarves	4	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	Oregon
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Dwarves	5	The Dwarves	The Dwarves	P50	Markus Heitz
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Dwarves	6	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	BOOL::Yes
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Dwarves	7	The Dwarves	The Dwarves	P50	Homburg
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Dwarves	8	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	BOOL::Yes
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Dwarves	9	The Dwarves	The Dwarves	P577	10 October 1971
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Hitchhiker's_Guide_to_the_Galaxy	0	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	P50	Ken Kesey
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Hitchhiker's_Guide_to_the_Galaxy	1	The Hitchhiker's Guide to the Galaxy	The Hitchhiker's Guide to the Galaxy	<UNK>	Douglas Adams
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Hitchhiker's_Guide_to_the_Galaxy	2	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	P577	YEAR::1962
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Hitchhiker's_Guide_to_the_Galaxy	3	The Hitchhiker's Guide to the Galaxy	The Hitchhiker's Guide to the Galaxy	P50	BOOL::No
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Hitchhiker's_Guide_to_the_Galaxy	4	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	Oregon
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Hitchhiker's_Guide_to_the_Galaxy	5	The Hitchhiker's Guide to the Galaxy	The Hitchhiker's Guide to the Galaxy	<UNK>	Eoin Colfer
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Hitchhiker's_Guide_to_the_Galaxy	6	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	BOOL::Yes
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Hitchhiker's_Guide_to_the_Galaxy	7	The Hitchhiker's Guide to the Galaxy	The Hitchhiker's Guide to the Galaxy	<UNK>	Artemis Fowl
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Hitchhiker's_Guide_to_the_Galaxy	8	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	<UNK>	BOOL::Yes
mixed_One_Flew_Over_the_Cuckoo's_Nest_The_Hitchhiker's_Guide_to_the_Galaxy	9	The Hitchhiker's Guide to the Galaxy	The Hitchhiker's Guide to the Galaxy	<UNK>	BOOL::Yes
mixed_Charlotte's_Web_Harry_Potter_and_the_Philosophers_Stone	0	Charlotte's Web	Charlotte's Web	<UNK>	E. B. White
mixed_Charlotte's_Web_Harry_Potter_and_the_Philosophers_Stone	1	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Sorcerer's Stone
mixed_Charlotte's_Web_Harry_Potter_and_the_Philosophers_Stone	2	Charlotte's Web	Charlotte's Web	<UNK>	Haper
mixed_Charlotte's_Web_Harry_Potter_and_the_Philosophers_Stone	3	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	P50	J.K. Rowling
mixed_Charlotte's_Web_Harry_Potter_and_the_Philosophers_Stone	4	Charlotte's Web	Charlotte's Web	P577	YEAR::1952
mixed_Charlotte's_Web_Harry_Potter_and_the_Philosophers_Stone	5	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Chamber of Secrets
mixed_Charlotte's_Web_Harry_Potter_and_the_Philosophers_Stone	6	Charlotte's Web	Charlotte's Web	P166	Newbery Medal
mixed_Charlotte's_Web_Harry_Potter_and_the_Philosophers_Stone	7	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Prisoner of Azkaban
mixed_Charlotte's_Web_Harry_Potter_and_the_Philosophers_Stone	8	Charlotte's Web	Charlotte's Web	P27	United States of America
mixed_Charlotte's_Web_Harry_Potter_and_the_Philosophers_Stone	9	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Goblet of Fire
mixed_Harry_Potter_and_the_Philosophers_Stone_Ready_Player_One	0	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Sorcerer's Stone
mixed_Harry_Potter_and_the_Philosophers_Stone_Ready_Player_One	1	Ready Player One	Ready Player One	<UNK>	Ernest Cline
mixed_Harry_Potter_and_the_Philosophers_Stone_Ready_Player_One	2	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	J.K. Rowling
mixed_Harry_Potter_and_the_Philosophers_Stone_Ready_Player_One	3	Ready Player One	Ready Player One	P136	science fiction novel
mixed_Harry_Potter_and_the_Philosophers_Stone_Ready_Player_One	4	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	P1476	Harry Potter and the Chamber of Secrets
mixed_Harry_Potter_and_the_Philosophers_Stone_Ready_Player_One	5	Ready Player One	Ready Player One	<UNK>	Ready Player One was made into a movie.
mixed_Harry_Potter_and_the_Philosophers_Stone_Ready_Player_One	6	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Prisoner of Azkaban
mixed_Harry_Potter_and_the_Philosophers_Stone_Ready_Player_One	7	Ready Player One	Ready Player One	<UNK>	Crown Publishing Group
mixed_Harry_Potter_and_the_Philosophers_Stone_Ready_Player_One	8	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Goblet of Fire
mixed_Harry_Potter_and_the_Philosophers_Stone_Ready_Player_One	9	Ready Player One	Ready Player One	P166	Ready Player One won the Promethus Award.
mixed_Harry_Potter_and_the_Philosophers_Stone_To_Kill_a_Mockingbird	0	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Sorcerer's Stone
mixed_Harry_Potter_and_the_Philosophers_Stone_To_Kill_a_Mockingbird	1	To Kill a Mockingbird	To Kill a Mockingbird	<UNK>	Harper Lee
mixed_Harry_Potter_and_the_Philosophers_Stone_To_Kill_a_Mockingbird	2	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	P50	J.K. Rowling
mixed_Harry_Potter_and_the_Philosophers_Stone_To_Kill_a_Mockingbird	3	To Kill a Mockingbird	To Kill a Mockingbird	P136	Southern Gothic;Bildungsroman
mixed_Harry_Potter_and_the_Philosophers_Stone_To_Kill_a_Mockingbird	4	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Chamber of Secrets
mixed_Harry_Potter_and_the_Philosophers_Stone_To_Kill_a_Mockingbird	5	To Kill a Mockingbird	To Kill a Mockingbird	P577	YEAR::1961
mixed_Harry_Potter_and_the_Philosophers_Stone_To_Kill_a_Mockingbird	6	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Prisoner of Azkaban
mixed_Harry_Potter_and_the_Philosophers_Stone_To_Kill_a_Mockingbird	7	To Kill a Mockingbird	To Kill a Mockingbird	<UNK>	To Kill a Mockingbird
mixed_Harry_Potter_and_the_Philosophers_Stone_To_Kill_a_Mockingbird	8	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Goblet of Fire
mixed_Harry_Potter_and_the_Philosophers_Stone_To_Kill_a_Mockingbird	9	To Kill a Mockingbird	To Kill a Mockingbird	<UNK>	Robert Mulligan
mixed_Harry_Potter_and_the_Philosophers_Stone_The_Lord_Of_The_Rings	0	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Sorcerer's Stone
mixed_Harry_Potter_and_the_Philosophers_Stone_The_Lord_Of_The_Rings	1	The Lord Of The Rings	The Lord Of The Rings	P50_reverse	The Fellowship Of The Ring
mixed_Harry_Potter_and_the_Philosophers_Stone_The_Lord_Of_The_Rings	2	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	P50	J.K. Rowling
mixed_Harry_Potter_and_the_Philosophers_Stone_The_Lord_Of_The_Rings	3	The Lord Of The Rings	The Lord Of The Rings	P50_reverse	COUNT::3
mixed_Harry_Potter_and_the_Philosophers_Stone_The_Lord_Of_The_Rings	4	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	P1476	Harry Potter and the Chamber of Secrets
mixed_Harry_Potter_and_the_Philosophers_Stone_The_Lord_Of_The_Rings	5	The Lord Of The Rings	The Lord Of The Rings	P50	Bloemfontein
mixed_Harry_Potter_and_the_Philosophers_Stone_The_Lord_Of_The_Rings	6	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Prisoner of Azkaban
mixed_Harry_Potter_and_the_Philosophers_Stone_The_Lord_Of_The_Rings	7	The Lord Of The Rings	The Lord Of The Rings	<UNK>	Edith Tolkien
mixed_Harry_Potter_and_the_Philosophers_Stone_The_Lord_Of_The_Rings	8	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Goblet of Fire
mixed_Harry_Potter_and_the_Philosophers_Stone_The_Lord_Of_The_Rings	9	The Lord Of The Rings	The Lord Of The Rings	P50	BOOL::No
mixed_Foundation_Harry_Potter_and_the_Philosophers_Stone	0	Foundation	Foundation	P50	Isaac Asimov
mixed_Foundation_Harry_Potter_and_the_Philosophers_Stone	1	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Sorcerer's Stone
mixed_Foundation_Harry_Potter_and_the_Philosophers_Stone	2	Foundation	Foundation	P577	YEAR::1951
mixed_Foundation_Harry_Potter_and_the_Philosophers_Stone	3	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	P50	J.K. Rowling
mixed_Foundation_Harry_Potter_and_the_Philosophers_Stone	4	Foundation	Foundation	<UNK>	BOOL::Yes
mixed_Foundation_Harry_Potter_and_the_Philosophers_Stone	5	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	P1476	Harry Potter and the Chamber of Secrets
mixed_Foundation_Harry_Potter_and_the_Philosophers_Stone	6	Foundation	Foundation	<UNK>	Foundation and Empire
mixed_Foundation_Harry_Potter_and_the_Philosophers_Stone	7	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Prisoner of Azkaban
mixed_Foundation_Harry_Potter_and_the_Philosophers_Stone	8	Foundation	Foundation	P50_reverse	BOOL::No
mixed_Foundation_Harry_Potter_and_the_Philosophers_Stone	9	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Goblet of Fire
mixed_Eragon_Harry_Potter_and_the_Philosophers_Stone	0	Eragon	Eragon	P136	young adult literature;speculative fiction novel
mixed_Eragon_Harry_Potter_and_the_Philosophers_Stone	1	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Sorcerer's Stone
mixed_Eragon_Harry_Potter_and_the_Philosophers_Stone	2	Eragon	Eragon	P50	Christopher Paolini
mixed_Eragon_Harry_Potter_and_the_Philosophers_Stone	3	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	J.K. Rowling
mixed_Eragon_Harry_Potter_and_the_Philosophers_Stone	4	Eragon	Eragon	P50	17 November 1983
mixed_Eragon_Harry_Potter_and_the_Philosophers_Stone	5	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	P1476	Harry Potter and the Chamber of Secrets
mixed_Eragon_Harry_Potter_and_the_Philosophers_Stone	6	Eragon	Eragon	<UNK>	26 August 2003
mixed_Eragon_Harry_Potter_and_the_Philosophers_Stone	7	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Prisoner of Azkaban
mixed_Eragon_Harry_Potter_and_the_Philosophers_Stone	8	Eragon	Eragon	<UNK>	Alfred A. Knopf
mixed_Eragon_Harry_Potter_and_the_Philosophers_Stone	9	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Goblet of Fire
mixed_Agatha_Christie_Harry_Potter_and_the_Philosophers_Stone	0	Agatha Christie	Agatha Christie	<UNK>	BOOL::No
mixed_Agatha_Christie_Harry_Potter_and_the_Philosophers_Stone	1	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Sorcerer's Stone
mixed_Agatha_Christie_Harry_Potter_and_the_Philosophers_Stone	2	Agatha Christie	Agatha Christie	<UNK>	Miss Marple
mixed_Agatha_Christie_Harry_Potter_and_the_Philosophers_Stone	3	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	P50	J.K. Rowling
mixed_Agatha_Christie_Harry_Potter_and_the_Philosophers_Stone	4	Agatha Christie	Agatha Christie	P50_reverse	COUNT::12
mixed_Agatha_Christie_Harry_Potter_and_the_Philosophers_Stone	5	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Chamber of Secrets
mixed_Agatha_Christie_Harry_Potter_and_the_Philosophers_Stone	6	Agatha Christie	Agatha Christie	<UNK>	The Body in the Library
mixed_Agatha_Christie_Harry_Potter_and_the_Philosophers_Stone	7	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Prisoner of Azkaban
mixed_Agatha_Christie_Harry_Potter_and_the_Philosophers_Stone	8	Agatha Christie	Agatha Christie	P27	United Kingdom
mixed_Agatha_Christie_Harry_Potter_and_the_Philosophers_Stone	9	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Goblet of Fire
mixed_Harry_Potter_and_the_Philosophers_Stone_The_Wonderful_Wizard_of_Oz	0	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Sorcerer's Stone
mixed_Harry_Potter_and_the_Philosophers_Stone_The_Wonderful_Wizard_of_Oz	1	The Wonderful Wizard of Oz	The Wonderful Wizard of Oz	<UNK>	L. Frank Baum
mixed_Harry_Potter_and_the_Philosophers_Stone_The_Wonderful_Wizard_of_Oz	2	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	J.K. Rowling
mixed_Harry_Potter_and_the_Philosophers_Stone_The_Wonderful_Wizard_of_Oz	3	The Wonderful Wizard of Oz	The Wonderful Wizard of Oz	<UNK>	The Wizard of Oz
mixed_Harry_Potter_and_the_Philosophers_Stone_The_Wonderful_Wizard_of_Oz	4	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	P1476	Harry Potter and the Chamber of Secrets
mixed_Harry_Potter_and_the_Philosophers_Stone_The_Wonderful_Wizard_of_Oz	5	The Wonderful Wizard of Oz	The Wonderful Wizard of Oz	<UNK>	Glinda the Good Witch
mixed_Harry_Potter_and_the_Philosophers_Stone_The_Wonderful_Wizard_of_Oz	6	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Prisoner of Azkaban
mixed_Harry_Potter_and_the_Philosophers_Stone_The_Wonderful_Wizard_of_Oz	7	The Wonderful Wizard of Oz	The Wonderful Wizard of Oz	P577	YEAR::1900
mixed_Harry_Potter_and_the_Philosophers_Stone_The_Wonderful_Wizard_of_Oz	8	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Goblet of Fire
mixed_Harry_Potter_and_the_Philosophers_Stone_The_Wonderful_Wizard_of_Oz	9	The Wonderful Wizard of Oz	The Wonderful Wizard of Oz	P136	children's literature
mixed_Harry_Potter_and_the_Philosophers_Stone_IT	0	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Sorcerer's Stone
mixed_Harry_Potter_and_the_Philosophers_Stone_IT	1	IT	IT	<UNK>	IT
mixed_Harry_Potter_and_the_Philosophers_Stone_IT	2	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	P50	J.K. Rowling
mixed_Harry_Potter_and_the_Philosophers_Stone_IT	3	IT	IT	<UNK>	Derry
mixed_Harry_Potter_and_the_Philosophers_Stone_IT	4	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	P1476	Harry Potter and the Chamber of Secrets
mixed_Harry_Potter_and_the_Philosophers_Stone_IT	5	IT	IT	<UNK>	Bill Denbrough
mixed_Harry_Potter_and_the_Philosophers_Stone_IT	6	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Prisoner of Azkaban
mixed_Harry_Potter_and_the_Philosophers_Stone_IT	7	IT	IT	<UNK>	Eddie Kapsbrack
mixed_Harry_Potter_and_the_Philosophers_Stone_IT	8	Harry Potter and the Philosophers Stone	Harry Potter and the Philosophers Stone	<UNK>	Harry Potter and the Goblet of Fire
mixed_Harry_Potter_and_the_Philosophers_Stone_IT	9	IT	IT	<UNK>	Henry Bowers
